#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
2A|BBS05||HHE|-68.692833|78.465477|189.0|0.0|90.0|0.0|Guralp CMG-40T Seismometer|1245670000.0|1.0|m/s|100.0|2017-12-30T05:51:55|2018-02-07T00:00:00
2A|BBS05||HHN|-68.692833|78.465477|189.0|0.0|0.0|0.0|Guralp CMG-40T Seismometer|1238430000.0|1.0|m/s|100.0|2017-12-30T05:51:55|2018-02-07T00:00:00
2A|BBS05||HHZ|-68.692833|78.465477|189.0|0.0|0.0|-90.0|Guralp CMG-40T Seismometer|1238060000.0|1.0|m/s|100.0|2017-12-30T05:51:55|2018-02-07T00:00:00
2A|BBS06||HHE|-68.689583|78.439034|185.0|0.0|90.0|0.0|Guralp CMG-40T Seismometer|1262040000.0|1.0|m/s|100.0|2017-12-30T08:20:33|2018-02-07T06:13:17
2A|BBS06||HHN|-68.689583|78.439034|185.0|0.0|0.0|0.0|Guralp CMG-40T Seismometer|1261320000.0|1.0|m/s|100.0|2017-12-30T08:20:33|2018-02-07T06:13:17
2A|BBS06||HHZ|-68.689583|78.439034|185.0|0.0|0.0|-90.0|Guralp CMG-40T Seismometer|1258270000.0|1.0|m/s|100.0|2017-12-30T08:20:33|2018-02-07T06:13:17
4J|XB01||HHE|3.66398|8.91011|296.0|0.0|90.0|0.0|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|301720000.0|1.0|m/s|100.0|2017-12-03T00:00:00|2024-01-01T00:00:00
4J|XB01||HHN|3.66398|8.91011|296.0|0.0|0.0|0.0|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|301720000.0|1.0|m/s|100.0|2017-12-03T00:00:00|2024-01-01T00:00:00
4J|XB01||HHZ|3.66398|8.91011|296.0|0.0|0.0|-90.0|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|301720000.0|1.0|m/s|100.0|2017-12-03T00:00:00|2024-01-01T00:00:00
4J|XB02||HHE|3.42995|8.71819|435.0|0.0|90.0|0.0|Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp|301720000.0|1.0|m/s|100.0|2017-12-02T00:00:00|2024-01-01T00:00:00
