time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2003-12-29T15:05:19.170Z, 4.14700, 94.70600,  33.00, KILOMETER,   5.1, mwc
2003-12-29T11:48:45.800Z, -22.45900, 169.62200,  27.10, KILOMETER,   5.7, mwc
2003-12-29T06:40:27.220Z, -22.08900, 169.82800,  10.00, KILOMETER,   5.4, mwc
2003-12-29T00:03:06.760Z, -12.93200, 169.56600,  33.00, KILOMETER,   5.4, mwc
2003-12-28T23:48:34.460Z, -22.06000, 169.71800,  10.00, KILOMETER,   5.3, mb
2003-12-28T23:47:36.360Z, -21.92100, 169.88600,  10.00, KILOMETER,   5.5, mwc
2003-12-28T19:21:21.560Z, -22.26300, 169.62200,  10.00, KILOMETER,   5.0, mb
2003-12-28T13:50:20.030Z, -22.01700, 169.91800,  10.00, KILOMETER,   5.4, mwc
2003-12-28T12:35:34.780Z, -22.17000, 169.66700,  10.00, KILOMETER,   5.3, mwc
2003-12-28T05:36:54.810Z, 0.59900, 122.35000,  74.90, KILOMETER,   5.9, mwb
2003-12-28T05:15:26.570Z, -21.99300, 170.11100,  10.00, KILOMETER,   5.5, mwc
2003-12-28T04:45:48.370Z, 30.01500, 131.00200,  31.90, KILOMETER,   5.2, mwc
2003-12-27T22:55:01.280Z, -21.64800, 169.76600,  10.00, KILOMETER,   6.3, mwc
2003-12-27T22:38:01.880Z, -21.67200, 169.83500,  10.00, KILOMETER,   6.7, mwb
2003-12-27T19:51:23.250Z, -22.00900, 169.60800,  10.00, KILOMETER,   5.1, mb
2003-12-27T16:00:59.450Z, -22.01500, 169.76600,  10.00, KILOMETER,   7.3, mwc
2003-12-27T07:27:21.360Z, -21.92600, 169.36200,  10.00, KILOMETER,   5.3, mwc
2003-12-27T06:35:29.220Z, -3.69900, 144.23100,  33.00, KILOMETER,   5.4, mwc
2003-12-27T04:55:25.460Z, -22.10700, 169.35000,  10.00, KILOMETER,   6.1, mwc
2003-12-26T22:56:13.450Z, -22.17100, 169.59900,  10.00, KILOMETER,   5.1, mb
2003-12-26T21:52:43.620Z, -22.16100, 169.64500,  10.00, KILOMETER,   5.1, mb
2003-12-26T21:44:01.300Z, -22.29600, 169.53700,  10.00, KILOMETER,   5.1, mb
2003-12-26T21:33:06.500Z, -22.22000, 169.61800,  10.00, KILOMETER,   5.4, mb
2003-12-26T21:26:04.100Z, -22.27300, 169.31400,  10.00, KILOMETER,   6.8, mwc
2003-12-26T21:16:11.480Z, -22.41200, 169.48300,  10.00, KILOMETER,   5.1, mb
2003-12-26T21:08:21.660Z, -22.32400, 169.50500,  10.00, KILOMETER,   5.7, mwc
2003-12-26T20:54:12.130Z, -22.25100, 169.48500,  10.00, KILOMETER,   5.4, mwc
2003-12-26T03:06:13.640Z, 28.93200, 58.32500,  10.00, KILOMETER,   5.1, mb
2003-12-26T01:56:52.440Z, 28.99500, 58.31100,  10.00, KILOMETER,   6.6, mwc
2003-12-25T23:13:21.510Z, -22.38500, 169.60100,  10.00, KILOMETER,   5.3, mb
2003-12-25T23:09:43.420Z, -22.30500, 169.53100,  10.00, KILOMETER,   6.0, mwb
2003-12-25T21:25:10.310Z, -22.27400, 169.57000,  10.00, KILOMETER,   5.0, mb
2003-12-25T20:42:33.720Z, -22.25200, 169.48800,  10.00, KILOMETER,   6.5, mwc
2003-12-25T14:21:14.940Z, -34.95400, -178.24900,  34.60, KILOMETER,   6.0, mwb
2003-12-24T11:33:04.360Z, -5.80100, 102.02800,  10.00, KILOMETER,   5.5, mwb
2003-12-23T23:54:47.670Z, 26.32400, 125.88400,  33.00, KILOMETER,   5.3, mwc
2003-12-23T23:15:27.910Z, 26.31700, 125.77500,  36.30, KILOMETER,   5.7, mwc
2003-12-23T23:01:15.020Z, 26.29200, 125.81900,  33.00, KILOMETER,   5.4, mwc
2003-12-23T05:58:37.190Z, -0.69600, -20.33000,  10.00, KILOMETER,   5.8, mwb
2003-12-23T04:54:50.150Z, 5.04000, 127.40900, 122.40, KILOMETER,   5.0, mb
2003-12-22T22:13:34.200Z, -45.31000, 166.83000,  24.00, KILOMETER,   5.0, mb
2003-12-21T07:40:45.830Z, -0.76900, -20.60100,  10.00, KILOMETER,   6.6, mwc
2003-12-21T06:29:15.530Z, -8.76900, 158.51500,  41.50, KILOMETER,   5.4, mwb
2003-12-20T22:08:28.990Z, 9.20600, 125.76800,  10.00, KILOMETER,   5.4, mb
2003-12-20T21:29:30.500Z, -6.04000, 151.28400,  38.70, KILOMETER,   5.2, mb
2003-12-19T22:23:04.970Z, -2.06700, 138.96800,  33.00, KILOMETER,   5.3, mwc
2003-12-19T14:12:17.910Z, -16.70300, 172.34900,  33.00, KILOMETER,   5.4, mwc
2003-12-19T13:05:30.980Z, 13.94700, 124.53000,  38.60, KILOMETER,   5.5, mwc
2003-12-19T13:03:43.620Z, -5.55900, 102.81000,  33.00, KILOMETER,   5.4, mwb
2003-12-19T00:11:58.230Z, 19.85200, 95.69800,  10.00, KILOMETER,   5.2, mwb
2003-12-18T21:46:02.380Z, -7.17000, 129.72700,  29.90, KILOMETER,   5.2, mwc
2003-12-18T05:41:57.610Z, -6.34700, 151.38400,  53.60, KILOMETER,   5.9, mwc
2003-12-17T16:27:19.910Z, 22.50100, 121.47400,  10.00, KILOMETER,   5.4, mwc
2003-12-17T04:21:05.260Z, -58.30500, -139.75400,  10.00, KILOMETER,   5.2, mwc
2003-12-15T22:57:22.670Z, 28.30500, 54.14800,  10.00, KILOMETER,   5.1, mwc
2003-12-14T14:37:37.990Z, -55.44300, -1.83500,  10.00, KILOMETER,   5.4, mwc
2003-12-14T11:22:57.520Z, -3.73400, 126.27200,  33.00, KILOMETER,   5.2, mwc
2003-12-13T12:21:08.500Z, -21.64200, -179.34900, 609.90, KILOMETER,   5.4, mwc
2003-12-12T13:39:48.790Z, 37.62600, 94.58800,  10.00, KILOMETER,   5.1, mb
2003-12-12T08:07:30.790Z, -0.11000, 123.99100,  93.20, KILOMETER,   5.2, mwc
2003-12-12T07:38:55.860Z, -5.48500, 154.12600, 164.80, KILOMETER,   5.3, mwc
2003-12-12T06:01:09.950Z, -17.19900, 167.12300,  33.00, KILOMETER,   5.4, mwc
2003-12-12T03:10:48.430Z, -1.06200, 126.99100,  33.00, KILOMETER,   5.7, mwc
2003-12-12T01:46:13.100Z, 42.49600, 142.94800,  33.00, KILOMETER,   5.2, mwc
2003-12-11T16:28:17.350Z, 31.95300, 49.20900,  33.00, KILOMETER,   5.0, mb
2003-12-11T00:01:45.910Z, 22.71900, 121.52300,  10.00, KILOMETER,   5.5, mwc
2003-12-10T15:51:39.230Z, 17.64200, 120.89200,  33.00, KILOMETER,   5.5, mwc
2003-12-10T13:19:09.550Z, -5.39800, 131.07100,  95.10, KILOMETER,   5.0, mb
2003-12-10T04:38:11.590Z, 23.03900, 121.36200,  10.00, KILOMETER,   6.8, mwb
2003-12-08T14:12:23.740Z, 27.30400, 130.12200,  33.00, KILOMETER,   5.0, mb
2003-12-08T14:00:54.950Z, 3.56300, 63.71000,  10.00, KILOMETER,   5.2, mwc
2003-12-08T07:20:14.660Z, 41.16000, 141.95700,  66.40, KILOMETER,   5.1, mwc
2003-12-07T20:20:54.730Z, 19.88600, 95.95200,  10.00, KILOMETER,   5.1, mb
2003-12-06T09:57:58.420Z, 11.28100, 125.70600,  33.00, KILOMETER,   5.4, mwc
2003-12-06T05:41:21.740Z, 11.29900, 125.76800,  33.00, KILOMETER,   5.4, mwc
2003-12-06T00:56:03.630Z, -11.59200, 166.28100,  33.00, KILOMETER,   5.4, mwc
2003-12-05T23:41:27.490Z, -8.13700, 120.52400,  33.00, KILOMETER,   5.4, mb
2003-12-05T20:03:22.800Z, -5.93700, 149.74500,  56.60, KILOMETER,   5.5, mwc
2003-12-05T02:02:30.200Z, 27.31800, 130.17700,  33.00, KILOMETER,   5.3, mwc
2003-12-05T00:27:22.870Z, -26.11800, 179.26800, 509.10, KILOMETER,   5.4, mwc
2003-12-03T12:04:04.210Z, -6.95900, 106.27400,  33.00, KILOMETER,   5.4, mwc
2003-12-03T07:33:57.350Z, -20.84200, -178.72300, 611.50, KILOMETER,   5.6, mwb
2003-12-01T17:19:43.860Z, -17.80500, 167.48700,  33.00, KILOMETER,   5.1, mwc
2003-12-01T12:36:24.250Z, -1.35800, 123.82200,  33.00, KILOMETER,   5.0, mb
2003-12-01T10:28:55.020Z, 42.98700, 80.53100,  10.00, KILOMETER,   5.2, mb
2003-12-01T02:06:46.350Z, 43.01600, 80.60900,  10.00, KILOMETER,   5.0, mb
2003-12-01T01:38:31.960Z, 42.90500, 80.51500,  10.00, KILOMETER,   6.0, mwc
2003-11-30T12:12:49.180Z, -17.68600, 167.72500,  33.00, KILOMETER,   5.4, mwc
2003-11-29T20:22:57.210Z, -9.01400, 123.62500,  93.20, KILOMETER,   5.5, mwb
2003-11-29T20:17:11.170Z, 4.03300, 126.43200,  33.00, KILOMETER,   5.2, mwc
2003-11-28T23:19:49.880Z, 28.41000, 54.07900,  33.00, KILOMETER,   5.0, mwc
2003-11-27T10:34:56.220Z, -3.11900, 127.39000,  33.00, KILOMETER,   5.6, mwb
2003-11-27T06:18:36.730Z, 0.65300, 67.08500,  10.00, KILOMETER,   5.1, mb
2003-11-26T03:04:07.970Z, 36.85000, 68.44000,  33.00, KILOMETER,   5.1, mb
2003-11-25T20:19:46.290Z, -5.58100, 150.88000,  35.00, KILOMETER,   6.6, mwb
2003-11-25T19:49:15.730Z, 31.28800, 70.07100,  33.00, KILOMETER,   5.0, mb
2003-11-25T05:40:07.940Z, 3.87400, 63.37800,  10.00, KILOMETER,   5.1, mb
2003-11-24T23:53:57.320Z, -7.56000, 106.20300,  33.00, KILOMETER,   5.4, mwc
2003-11-24T19:41:27.840Z, -3.83000, 131.29200,  33.00, KILOMETER,   5.2, mwc
2003-11-24T14:54:17.400Z, -4.26500, 152.71000,  33.00, KILOMETER,   5.8, mwc
2003-11-24T12:18:12.780Z, 42.34600, 143.00700,  33.00, KILOMETER,   5.3, mwc
2003-11-23T18:43:21.430Z, -5.27300, 102.27800,  33.00, KILOMETER,   5.0, mb
2003-11-23T16:38:52.470Z, -6.13700, 130.35900, 143.60, KILOMETER,   5.3, mwc
2003-11-23T08:56:53.680Z, 37.69800, 143.24000,  10.00, KILOMETER,   5.1, mb
2003-11-22T22:00:20.780Z, 35.43400, 140.91200,  38.70, KILOMETER,   5.2, mwc
2003-11-22T11:24:33.400Z, 13.29200, 57.24800,  10.00, KILOMETER,   5.0, mwc
2003-11-22T09:30:03.510Z, 13.28100, 57.46600,  10.00, KILOMETER,   5.1, mwc
2003-11-21T10:34:36.980Z, 31.40100, 59.42700,  33.00, KILOMETER,   5.0, mwc
2003-11-21T00:52:54.160Z, 1.23600, 126.41100,  10.00, KILOMETER,   5.5, mwc
2003-11-20T14:05:01.950Z, 13.03700, 93.24500,  33.00, KILOMETER,   5.4, mwc
2003-11-20T12:24:32.630Z, -10.02400, 111.02800,  10.00, KILOMETER,   5.9, mwc
2003-11-20T03:17:04.020Z, 41.59900, 144.08800,  33.00, KILOMETER,   5.0, mb
2003-11-20T02:01:25.220Z, -24.36900, -179.71300, 480.50, KILOMETER,   5.6, mwb
2003-11-19T18:21:13.310Z, 4.03500, 125.11600,  33.00, KILOMETER,   5.0, mb
2003-11-18T23:21:14.400Z, 31.02000, 51.28700,  33.00, KILOMETER,   5.1, mb
2003-11-18T17:14:22.620Z, 12.02500, 125.41600,  35.00, KILOMETER,   6.5, mwb
2003-11-17T01:35:47.510Z, 50.18800, 87.65200,  10.00, KILOMETER,   5.2, mwc
2003-11-16T20:53:30.410Z, 18.58800, 145.68000, 156.80, KILOMETER,   5.3, mwc
2003-11-16T07:44:48.250Z, 37.93200, 142.87900,  10.00, KILOMETER,   5.1, mb
2003-11-16T07:22:49.700Z, 38.27000, 20.34000,   8.00, KILOMETER,   5.2, mwc
2003-11-15T13:58:43.260Z, -8.26700, 121.37900,  33.00, KILOMETER,   5.2, mwc
2003-11-15T10:13:06.670Z, -30.54200, -179.11400,  33.00, KILOMETER,   5.1, mwc
2003-11-15T09:16:24.060Z, -8.31600, 121.37400,  33.00, KILOMETER,   5.5, mwb
2003-11-14T18:49:46.500Z, 27.37200, 103.97100,  33.00, KILOMETER,   5.6, mwc
2003-11-14T18:43:51.140Z, 36.39600, 141.07200,  41.10, KILOMETER,   5.7, mwc
2003-11-14T07:33:06.270Z, -3.60500, 102.03500,  33.00, KILOMETER,   5.4, mwc
2003-11-14T04:28:33.300Z, -16.73700, 172.33100,  10.00, KILOMETER,   6.1, mwc
2003-11-13T22:39:20.580Z, 41.85700, 142.11700,  74.40, KILOMETER,   5.0, mwc
2003-11-13T11:20:05.170Z, -11.61800, 166.34000,  33.00, KILOMETER,   5.1, mwc
2003-11-13T02:49:02.210Z, -54.21300, 143.82400,  10.00, KILOMETER,   6.0, mwb
2003-11-13T02:35:10.340Z, 34.71200, 103.83400,  10.00, KILOMETER,   5.1, mwc
2003-11-12T08:26:43.740Z, 33.17100, 137.07200, 384.90, KILOMETER,   6.4, mwb
2003-11-12T00:29:45.350Z, 1.59300, 126.48000,  33.00, KILOMETER,   6.2, mwc
2003-11-11T22:42:30.750Z, 50.14700, 87.88800,  10.00, KILOMETER,   5.1, mwc
2003-11-11T18:48:23.760Z, 22.32100, 143.24600, 101.00, KILOMETER,   6.0, mwb
2003-11-11T15:39:33.590Z, -30.65900, -179.37600,  33.00, KILOMETER,   6.1, mwc
2003-11-11T13:44:53.280Z, -30.61600, -179.01000,  33.00, KILOMETER,   6.1, mwb
2003-11-10T14:45:51.370Z, 41.03500, 67.93000,  10.00, KILOMETER,   5.1, mwc
2003-11-10T08:11:20.400Z, 37.91700, 143.51700,  10.00, KILOMETER,   5.0, mb
2003-11-09T22:56:25.550Z, -0.47200, -19.69200,  10.00, KILOMETER,   5.4, mwc
2003-11-09T19:52:36.820Z, -0.67400, -19.68900,  10.00, KILOMETER,   6.6, mwc
2003-11-09T19:23:28.610Z, 1.56200, 127.35800, 133.90, KILOMETER,   5.8, mwb
2003-11-09T13:48:01.960Z, -59.51300, -25.89900,  65.30, KILOMETER,   5.0, mwc
2003-11-09T08:25:50.940Z, 29.46900, 130.60100,  33.00, KILOMETER,   5.0, mwc
2003-11-09T00:25:36.050Z, -65.46800, 171.12600,  10.00, KILOMETER,   5.1, mwc
2003-11-08T20:11:37.860Z, -6.33200, 131.24500,  33.00, KILOMETER,   5.0, mb
2003-11-08T01:57:37.230Z, 38.15300, 143.23500,  10.00, KILOMETER,   5.0, mb
2003-11-07T21:21:29.170Z, -57.05300, -25.70200,  33.00, KILOMETER,   5.0, mb
2003-11-07T18:19:07.490Z, -57.30500, -25.01300,  33.00, KILOMETER,   5.0, mwc
2003-11-07T13:59:28.790Z, 2.04100, 126.88000,  10.00, KILOMETER,   5.6, mwc
2003-11-06T10:38:04.290Z, -19.26200, 168.89200, 113.70, KILOMETER,   6.6, mwb
2003-11-06T08:14:57.860Z, 2.00100, 127.03300,  10.00, KILOMETER,   5.8, mwc
2003-11-06T00:33:06.260Z, 12.84400, 57.92300,  10.00, KILOMETER,   5.0, mwc
