#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
BI|DHAK||EHE|23.73|90.400002|-36.0|0.0|90.0|0.0|Kinemetrics SV1-SH1/Reftek 72A-02 Datalogger|2619310.0|1.0|M/S|100.0|2011-09-24T00:00:00|
BI|DHAK||EHN|23.73|90.400002|-36.0|0.0|0.0|0.0|Kinemetrics SV1-SH1/Reftek 72A-02 Datalogger|2619310.0|1.0|M/S|100.0|2011-09-24T00:00:00|
BI|DHAK||EHZ|23.73|90.400002|-36.0|0.0|0.0|-90.0|Kinemetrics SV1-SH1/Reftek 72A-02 Datalogger|2619310.0|1.0|M/S|100.0|2011-09-24T00:00:00|
CB|TNC|00|BHE|25.028999|98.519997|1650.0|0.0|0.0|0.0|CTS-1H/VBB Seismometer|1059130000.0|0.02|M/S|50.0|2000-01-01T00:00:00|
CB|TNC|00|BHN|25.028999|98.519997|1650.0|0.0|0.0|0.0|CTS-1H/VBB Seismometer|1035040000.0|0.02|M/S|50.0|2000-01-01T00:00:00|
CB|TNC|00|BHZ|25.028999|98.519997|1650.0|0.0|0.0|0.0|CTS-1V/VBB Seismometer|988050000.0|0.02|M/S|50.0|2000-01-01T00:00:00|
IC|KMI|00|BH1|25.1233|102.74|1940.0|35.0|0.0|0.0|Streckeisen STS-1VBB w/E300|4511440000.0|0.02|m/s|20.0|2013-01-17T01:00:00|2020-10-13T00:00:00
IC|KMI|00|BH1|25.1233|102.74|1940.0|35.0|0.0|0.0|Streckeisen STS-1VBB w/E300|4511440000.0|0.02|m/s|20.0|2020-10-13T00:00:00|
IC|KMI|00|BH2|25.1233|102.74|1940.0|35.0|90.0|0.0|Streckeisen STS-1VBB w/E300|4467820000.0|0.02|m/s|20.0|2013-01-17T01:00:00|2020-10-13T00:00:00
IC|KMI|00|BH2|25.1233|102.74|1940.0|35.0|90.0|0.0|Streckeisen STS-1VBB w/E300|4467820000.0|0.02|m/s|20.0|2020-10-13T00:00:00|
IC|KMI|00|BHZ|25.1233|102.74|1940.0|35.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|5404000000.0|0.02|m/s|20.0|2013-01-17T01:00:00|2020-10-13T00:00:00
IC|KMI|00|BHZ|25.1233|102.74|1940.0|35.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|5404000000.0|0.02|m/s|20.0|2020-10-13T00:00:00|
IC|KMI|10|HH1|25.1233|102.74|1940.0|35.0|0.0|0.0|Streckeisen STS-2.5|2447790000.0|0.02|m/s|100.0|2013-01-17T01:00:00|
IC|KMI|10|HH2|25.1233|102.74|1940.0|35.0|90.0|0.0|Streckeisen STS-2.5|2447790000.0|0.02|m/s|100.0|2013-01-17T01:00:00|
IC|KMI|10|HHZ|25.1233|102.74|1940.0|35.0|0.0|-90.0|Streckeisen STS-2.5|2447790000.0|0.02|m/s|100.0|2013-01-17T01:00:00|
IC|LSA|00|BH1|29.7031|91.127|3645.0|15.0|0.0|0.0|Streckeisen STS-1VBB w/E300|4540220000.0|0.05|m/s|20.0|2013-05-09T11:30:00|
IC|LSA|00|BH2|29.7031|91.127|3645.0|15.0|90.0|0.0|Streckeisen STS-1VBB w/E300|3400770000.0|0.02|m/s|20.0|2014-05-22T01:50:00|
IC|LSA|00|BHZ|29.7031|91.127|3645.0|15.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|5628810000.0|0.02|m/s|20.0|2013-05-09T11:30:00|
IC|LSA|10|BH1|29.7031|91.127|3645.0|15.0|0.0|0.0|Streckeisen STS-2.5|2447800000.0|0.02|m/s|40.0|2014-03-07T00:00:00|
IC|LSA|10|BH2|29.7031|91.127|3645.0|15.0|90.0|0.0|Streckeisen STS-2.5|2447800000.0|0.02|m/s|40.0|2014-03-07T00:00:00|
IC|LSA|10|BHZ|29.7031|91.127|3645.0|15.0|0.0|-90.0|Streckeisen STS-2.5|2447800000.0|0.02|m/s|40.0|2014-03-07T00:00:00|
IC|LSA|10|HH1|29.7031|91.127|3645.0|15.0|0.0|0.0|Streckeisen STS-2.5|2447790000.0|0.02|m/s|100.0|2013-05-09T11:30:00|
IC|LSA|10|HH2|29.7031|91.127|3645.0|15.0|90.0|0.0|Streckeisen STS-2.5|2447790000.0|0.02|m/s|100.0|2013-05-09T11:30:00|
IC|LSA|10|HHZ|29.7031|91.127|3645.0|15.0|0.0|-90.0|Streckeisen STS-2.5|2447790000.0|0.02|m/s|100.0|2013-05-09T11:30:00|
