time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2002-12-31T22:29:45.150Z, 44.94000, 146.21200, 212.00, KILOMETER,   5.2, mb
2002-12-31T06:02:31.080Z, 55.51200, 166.36700,  10.00, KILOMETER,   5.4, mwb
2002-12-29T06:56:28.260Z, -3.79900, 141.24100,  46.50, KILOMETER,   5.5, mwb
2002-12-28T10:49:54.420Z, -7.41800, 128.14100, 100.00, KILOMETER,   5.2, mb
2002-12-28T09:36:08.480Z, 51.42900, -168.52600,  10.00, KILOMETER,   5.6, mwb
2002-12-28T07:44:33.330Z, -15.06500, -173.85700,  37.80, KILOMETER,   5.2, mwc
2002-12-28T03:20:43.600Z, -18.24700, -178.53400, 626.60, KILOMETER,   5.9, mwc
2002-12-27T13:28:36.320Z, 4.11100, 97.72000, 138.50, KILOMETER,   5.4, mwc
2002-12-25T19:13:42.740Z, 35.70400, 69.86800,  90.80, KILOMETER,   5.5, mwc
2002-12-25T12:57:03.200Z, 39.57000, 75.25400,  10.00, KILOMETER,   5.7, mwc
2002-12-25T08:54:25.290Z, -17.74500, -178.89900, 568.20, KILOMETER,   5.5, mwc
2002-12-24T17:03:02.940Z, 34.59400, 47.45400,  33.00, KILOMETER,   5.2, mwc
2002-12-24T14:43:07.070Z, 50.00700, 156.16400,  67.20, KILOMETER,   5.5, mwb
2002-12-24T12:48:45.780Z, 47.71500, 154.60000,  33.00, KILOMETER,   5.7, mwc
2002-12-24T11:37:39.850Z, -7.14000, 154.69200,  46.30, KILOMETER,   5.3, mwc
2002-12-24T11:31:59.270Z, -7.21100, 154.82300,  33.00, KILOMETER,   5.1, mwc
2002-12-23T11:55:24.030Z, -15.14500, 66.90500,  10.00, KILOMETER,   5.3, mwc
2002-12-23T02:50:38.270Z, -1.72400, 34.97100,  10.00, KILOMETER,   5.2, mwc
2002-12-22T11:35:20.450Z, 1.98600, 66.79400,  10.00, KILOMETER,   5.0, mwc
2002-12-22T11:13:44.700Z, -10.50300, 161.28100,  33.10, KILOMETER,   5.2, mwc
2002-12-22T07:29:32.710Z, -7.68700, 156.13300,  33.00, KILOMETER,   5.2, mwc
2002-12-20T21:06:55.710Z, -15.50200, -173.16800,  57.30, KILOMETER,   5.2, mwc
2002-12-20T14:14:42.050Z, -3.07600, 147.94300,  33.00, KILOMETER,   6.3, mwc
2002-12-19T22:21:35.680Z, 35.30100, 74.49400,  33.00, KILOMETER,   5.0, mb
2002-12-19T12:19:18.910Z, 40.94000, 143.07000,  34.30, KILOMETER,   5.0, mwc
2002-12-18T11:09:18.860Z, 52.88200, 159.66000,  53.00, KILOMETER,   5.2, mb
2002-12-17T16:09:12.250Z, -7.00300, 125.41100, 493.20, KILOMETER,   5.7, mwc
2002-12-16T17:30:47.150Z, -6.73100, 130.62100,  33.00, KILOMETER,   5.1, mwc
2002-12-16T16:13:31.610Z, -16.20600, -174.14200, 115.50, KILOMETER,   5.6, mwc
2002-12-16T12:37:58.610Z, -5.10500, 151.03100, 129.10, KILOMETER,   5.4, mwc
2002-12-16T02:19:44.800Z, -5.37200, 153.61900,  33.00, KILOMETER,   5.1, mwc
2002-12-15T04:08:41.410Z, 48.48600, 154.79600,  50.30, KILOMETER,   5.0, mb
2002-12-14T13:27:29.100Z, 39.73600, 97.44300,  22.00, KILOMETER,   5.6, mwb
2002-12-13T15:51:31.000Z, 50.17000, -130.29000,  10.00, KILOMETER,   5.4, mwc
2002-12-13T01:45:35.770Z, 8.84400, 94.06500,  33.00, KILOMETER,   5.0, mwc
2002-12-12T10:19:42.690Z, -7.82200, 156.21600,  55.70, KILOMETER,   5.5, mb
2002-12-12T08:30:42.770Z, -4.78600, 153.27500,  34.00, KILOMETER,   6.7, mwb
2002-12-11T10:00:31.160Z, -3.73700, 135.23400,  10.00, KILOMETER,   5.8, mwc
2002-12-11T03:49:40.190Z, -3.81000, 135.12300,  10.00, KILOMETER,   6.3, mwb
2002-12-10T05:32:57.810Z, 51.62700, -176.92800,  33.00, KILOMETER,   5.3, mwc
2002-12-10T04:27:54.600Z, -24.13900, 179.24000, 530.60, KILOMETER,   6.1, mwb
2002-12-09T13:47:19.230Z, -27.97700, 73.94700,  10.00, KILOMETER,   5.0, mwc
2002-12-09T09:35:04.890Z, 37.86900, 19.97300,  10.00, KILOMETER,   5.2, mwc
2002-12-07T06:22:41.030Z, -7.50900, 127.65100, 148.50, KILOMETER,   5.3, mwc
2002-12-06T22:17:17.620Z, -27.27900, -176.23200,  33.00, KILOMETER,   5.0, mb
2002-12-06T08:52:22.650Z, -28.11100, 62.75100,  10.00, KILOMETER,   5.1, mb
2002-12-05T17:28:06.820Z, -19.02000, -174.79700, 125.60, KILOMETER,   5.4, mwc
2002-12-05T11:14:30.580Z, -6.47100, 153.43500,  53.50, KILOMETER,   5.6, mwb
2002-12-04T16:19:15.100Z, -5.27600, 145.60100,  96.40, KILOMETER,   5.2, mwc
2002-12-04T15:53:02.630Z, 38.92100, 142.06400,  43.60, KILOMETER,   5.0, mb
2002-12-04T15:50:42.190Z, 38.72900, 142.18600,  40.20, KILOMETER,   5.4, mwc
2002-12-04T11:30:53.780Z, 19.37900, 94.51300,  53.50, KILOMETER,   5.6, mwc
2002-12-03T20:13:54.740Z, -17.81800, -178.81700, 568.40, KILOMETER,   5.6, mwc
2002-12-02T18:21:49.810Z, -6.51800, 71.43200,  10.00, KILOMETER,   5.4, mwc
2002-12-02T04:58:55.190Z, 37.74700, 21.08700,  10.00, KILOMETER,   5.7, mwc
