#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
GE|NPW||BHN|19.7785|96.1376|158.0|2.0|0.0|0.0|GFZ:GE1993:CMG-3ESP/30/NPW/g=2000|784314000.0|1.0|M/S|20.0|2016-10-18T00:00:00|
GE|NPW||HHZ|19.7785|96.1376|158.0|2.0|0.0|-90.0|GFZ:GE1993:CMG-3ESP/30/NPW/g=2000|784314000.0|1.0|M/S|100.0|2016-10-18T00:00:00|
GE|NPW||BHE|19.7785|96.1376|158.0|2.0|90.0|0.0|GFZ:GE1993:CMG-3ESP/30/NPW/g=2000|784314000.0|1.0|M/S|20.0|2016-10-18T00:00:00|
GE|NPW||BHZ|19.7785|96.1376|158.0|2.0|0.0|-90.0|GFZ:GE1993:CMG-3ESP/30/NPW/g=2000|784314000.0|1.0|M/S|20.0|2016-10-18T00:00:00|
GE|NPW||HHE|19.7785|96.1376|158.0|2.0|90.0|0.0|GFZ:GE1993:CMG-3ESP/30/NPW/g=2000|784314000.0|1.0|M/S|100.0|2016-10-18T00:00:00|
GE|NPW||HHN|19.7785|96.1376|158.0|2.0|0.0|0.0|GFZ:GE1993:CMG-3ESP/30/NPW/g=2000|784314000.0|1.0|M/S|100.0|2016-10-18T00:00:00|
6C|GF01||HHZ|22.43398|94.84652|82.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-01T16:30:00|2021-12-31T00:00:00
6C|GF01||HHN|22.43398|94.84652|82.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-01T16:30:00|2021-12-31T00:00:00
6C|GF01||HHE|22.43398|94.84652|82.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-01T16:30:00|2021-12-31T00:00:00
6C|GF04||HHZ|25.36338|97.01997|159.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T13:00:00|2021-12-31T00:00:00
6C|GF04||HHN|25.36338|97.01997|159.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T13:00:00|2021-12-31T00:00:00
6C|GF04||HHE|25.36338|97.01997|159.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T13:00:00|2021-12-31T00:00:00
6C|GF02||HHZ|24.77839|97.042643|128.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-03-09T18:00:00|2021-12-31T00:00:00
6C|GF02||HHN|24.77839|97.042643|128.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-03-09T18:00:00|2021-12-31T00:00:00
6C|GF02||HHE|24.77839|97.042643|128.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-03-09T18:00:00|2021-12-31T00:00:00
6C|GF05||HHZ|23.471756|96.64584|128.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-06T13:00:00|2021-12-31T00:00:00
6C|GF05||HHN|23.471756|96.64584|128.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-06T13:00:00|2021-12-31T00:00:00
6C|GF05||HHE|23.471756|96.64584|128.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-06T13:00:00|2021-12-31T00:00:00
6C|GF07||HHZ|22.922066|93.68532|1604.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-24T14:00:00|2021-12-31T00:00:00
6C|GF07||HHN|22.922066|93.68532|1604.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-24T14:00:00|2021-12-31T00:00:00
6C|GF07||HHE|22.922066|93.68532|1604.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-24T14:00:00|2021-12-31T00:00:00
6C|GF08||HHZ|24.22994|96.77658|104.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-03-06T15:00:00|2021-12-31T00:00:00
6C|GF08||HHN|24.22994|96.77658|104.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-03-06T15:00:00|2021-12-31T00:00:00
6C|GF08||HHE|24.22994|96.77658|104.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-03-06T15:00:00|2021-12-31T00:00:00
6C|GF06||HHZ|21.93304|95.56481|77.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-01-22T13:00:00|2021-12-31T00:00:00
6C|GF06||HHN|21.93304|95.56481|77.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-01-22T13:00:00|2021-12-31T00:00:00
6C|GF06||HHE|21.93304|95.56481|77.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-01-22T13:00:00|2021-12-31T00:00:00
6C|GF09||HHZ|25.13685|96.21917|212.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T14:45:00|2021-12-31T00:00:00
6C|GF09||HHN|25.13685|96.21917|212.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T14:45:00|2021-12-31T00:00:00
6C|GF09||HHE|25.13685|96.21917|212.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T14:45:00|2021-12-31T00:00:00
6C|GF10||HHZ|24.75982|96.38242|242.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T10:00:00|2021-12-31T00:00:00
6C|GF10||HHN|24.75982|96.38242|242.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T10:00:00|2021-12-31T00:00:00
6C|GF10||HHE|24.75982|96.38242|242.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-06T10:00:00|2021-12-31T00:00:00
6C|GF11||HHZ|24.18951|96.33687|120.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-07T18:30:00|2021-12-31T00:00:00
6C|GF11||HHN|24.18951|96.33687|120.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-07T18:30:00|2021-12-31T00:00:00
6C|GF11||HHE|24.18951|96.33687|120.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-240/g=1200|480000000.0|1.0|M/S|100.0|2019-02-07T18:30:00|2021-12-31T00:00:00
6C|GF12||HHZ|27.2828|97.58404|370.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-10T11:30:00|2021-12-31T00:00:00
6C|GF12||HHN|27.2828|97.58404|370.0|0.0|0.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-10T11:30:00|2021-12-31T00:00:00
6C|GF12||HHE|27.2828|97.58404|370.0|0.0|90.0|0.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-02-10T11:30:00|2021-12-31T00:00:00
6C|GF13||HHZ|24.33801|94.87836|120.0|0.0|0.0|-90.0|GFZ:6C2019:Trillium-120/g=1201|480400000.0|1.0|M/S|100.0|2019-01-29T13:00:00|2021-12-31T00:00:00
