#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ZS|JH01||BHZ|61.3145|10.3263|515.0|0.0|0.0|-90.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-07-07T00:00:00|2004-03-21T00:00:00
ZS|JH01||BHE|61.3145|10.3263|515.0|0.0|90.0|0.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-07-07T00:00:00|2004-03-21T00:00:00
ZS|JH01||BHN|61.3145|10.3263|515.0|0.0|0.0|0.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-07-07T00:00:00|2004-03-21T00:00:00
ZS|JH02A||BHZ|61.5791|9.9064|393.0|0.0|0.0|-90.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2002-07-30T00:00:00|2004-03-21T00:00:00
ZS|JH02A||BHE|61.5791|9.9064|393.0|0.0|90.0|0.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2002-07-30T00:00:00|2004-03-21T00:00:00
ZS|JH02A||BHN|61.5791|9.9064|393.0|0.0|0.0|0.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2002-07-30T00:00:00|2004-03-21T00:00:00
ZS|JH03||BHZ|61.808|9.5719|700.0|0.0|0.0|-90.0|GFZ:ZS2002:STS-2/N/g=1500|786576000.0|0.02|M/S|20.0|2002-05-26T00:00:00|2004-03-21T00:00:00
ZS|JH03||BHE|61.808|9.5719|700.0|0.0|90.0|0.0|GFZ:ZS2002:STS-2/N/g=1500|786576000.0|0.02|M/S|20.0|2002-05-26T00:00:00|2004-03-21T00:00:00
ZS|JH03||BHN|61.808|9.5719|700.0|0.0|0.0|0.0|GFZ:ZS2002:STS-2/N/g=1500|786576000.0|0.02|M/S|20.0|2002-05-26T00:00:00|2004-03-21T00:00:00
ZS|JH07||BHZ|62.4372|6.4318|130.0|0.0|0.0|-90.0|GFZ:ZS2002:CMG-40T/30/g=800|419507200.0|0.1|M/S|20.0|2003-07-09T00:00:00|2004-01-24T00:00:00
ZS|JH07||BHE|62.4372|6.4318|130.0|0.0|90.0|0.0|GFZ:ZS2002:CMG-40T/30/g=800|419507200.0|0.1|M/S|20.0|2003-07-09T00:00:00|2004-01-24T00:00:00
ZS|JH07||BHN|62.4372|6.4318|130.0|0.0|0.0|0.0|GFZ:ZS2002:CMG-40T/30/g=800|419507200.0|0.1|M/S|20.0|2003-07-09T00:00:00|2004-01-24T00:00:00
ZS|JH08||BHZ|62.0166|7.6658|930.0|0.0|0.0|-90.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-11-06T00:00:00|2004-03-20T00:00:00
ZS|JH08||BHE|62.0166|7.6658|930.0|0.0|90.0|0.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-11-06T00:00:00|2004-03-20T00:00:00
ZS|JH08||BHN|62.0166|7.6658|930.0|0.0|0.0|0.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-11-06T00:00:00|2004-03-20T00:00:00
ZS|JH09||BHZ|61.7267|8.2807|780.0|0.0|0.0|-90.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-07-08T00:00:00|2004-03-20T00:00:00
ZS|JH09||BHE|61.7267|8.2807|780.0|0.0|90.0|0.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-07-08T00:00:00|2004-03-20T00:00:00
ZS|JH09||BHN|61.7267|8.2807|780.0|0.0|0.0|0.0|GFZ:ZS2002:L4-3D/g=170|2852648960.0|5.0|M/S|20.0|2003-07-08T00:00:00|2004-03-20T00:00:00
ZS|JH10||BHZ|62.0822|6.8918|198.0|0.0|0.0|-90.0|GFZ:ZS2002:STS-2/N/g=1500|786576000.0|0.02|M/S|20.0|2003-07-09T00:00:00|2004-03-20T00:00:00
