#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
5G|D01||HHE|40.364|124.3889|280.0|0.0|90.0|0.0|CMG-40T, 30 s, 800 V/m/s-null|382962000.0|0.05|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D01||HHN|40.364|124.3889|280.0|0.0|0.0|0.0|CMG-40T, 30 s, 800 V/m/s-null|382962000.0|0.05|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D01||HHZ|40.364|124.3889|280.0|0.0|0.0|-90.0|CMG-40T, 30 s, 800 V/m/s-null|382962000.0|0.05|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D02||HHE|40.9494|125.0183|289.8|0.0|90.0|0.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D02||HHN|40.9494|125.0183|289.8|0.0|0.0|0.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D02||HHZ|40.9494|125.0183|289.8|0.0|0.0|-90.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D03||HHE|41.5287|125.4825|48.4|0.0|90.0|0.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D03||HHN|41.5287|125.4825|48.4|0.0|0.0|0.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D03||HHZ|41.5287|125.4825|48.4|0.0|0.0|-90.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D04||HHE|42.1085|126.5424|649.0|0.0|90.0|0.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D04||HHN|42.1085|126.5424|649.0|0.0|0.0|0.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D04||HHZ|42.1085|126.5424|649.0|0.0|0.0|-90.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D05||HHE|42.2977|127.184|488.6|0.0|90.0|0.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
5G|D05||HHN|42.2977|127.184|488.6|0.0|0.0|0.0|CMG-40T, 30 s, 800 V/m/s-HRD-24, gain 1, 100 sps,|339169000.0|1.0|m/s|100.0|2004-06-01T00:00:00|2007-10-23T23:59:59
