time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2019-12-28T15:36:35.773Z, -44.60790, 37.09410,  10.00, KILOMETER,   5.7, Mww
2019-12-23T06:33:40.312Z, 11.52670, 141.73350,  41.91, KILOMETER,   5.8, Mww
2019-12-19T15:25:58.827Z, 1.79710, 8.18860,  10.00, KILOMETER,   5.5, Mww
2019-12-19T11:55:32.506Z, 18.55170, 145.61380, 186.76, KILOMETER,   5.6, Mww
2019-12-15T07:09:20.910Z, 6.53350, 125.25990,  10.00, KILOMETER,   5.6, Mww
2019-12-15T06:11:51.155Z, 6.69690, 125.17390,  18.00, KILOMETER,   6.8, mww
2019-12-14T04:57:34.937Z, -14.36280, 167.70890,   7.51, KILOMETER,   6.0, Mww
2019-12-10T17:05:02.667Z, 30.71780, 141.73640,  14.44, KILOMETER,   5.9, Mww
2019-12-10T08:40:42.595Z, -20.90410, 168.56520,  10.00, KILOMETER,   5.6, Mww
2019-12-05T12:24:45.623Z, 5.36380, 126.77130,  60.98, KILOMETER,   5.5, Mww
2019-12-05T02:03:18.952Z, 45.34080, 150.13130,  36.00, KILOMETER,   5.5, Mww
2019-12-04T20:10:03.595Z, -19.06770, 169.57480, 266.00, KILOMETER,   6.0, Mww
2019-12-03T22:23:12.720Z, -3.22310, 150.76090,  10.00, KILOMETER,   5.6, Mww
2019-12-02T05:01:54.817Z, 51.18620, -178.10110,  28.00, KILOMETER,   6.0, Mww
2019-11-27T14:44:35.270Z, 3.62550, 64.23110,  10.00, KILOMETER,   5.5, mb
2019-11-27T07:23:42.552Z, 35.72720, 23.26730,  71.76, KILOMETER,   6.0, Mww
2019-11-26T02:54:12.620Z, 41.51490, 19.52120,  20.00, KILOMETER,   6.4, Mww
2019-11-24T00:54:01.052Z, 51.38090, -175.51080,  20.00, KILOMETER,   6.3, Mww
2019-11-23T12:11:15.564Z, 1.64360, 132.81480,   5.00, KILOMETER,   6.2, Mww
2019-11-20T08:26:07.542Z, 53.16330, 153.68520, 486.81, KILOMETER,   6.3, Mww
2019-11-18T13:22:10.217Z, 7.61930, 124.90880,  15.18, KILOMETER,   5.9, Mww
2019-11-16T10:19:13.323Z, 1.56730, 126.33490,  24.00, KILOMETER,   5.9, Mww
2019-11-15T01:17:38.332Z, 1.61580, 126.34690,  35.00, KILOMETER,   5.9, Mww
2019-11-14T23:17:20.714Z, 1.60130, 126.35030,  27.62, KILOMETER,   5.5, Mww
2019-11-14T21:12:54.750Z, 1.56730, 126.41360,  23.00, KILOMETER,   6.0, Mww
2019-11-14T20:19:47.095Z, 1.75520, 126.25580,  15.02, KILOMETER,   5.5, mb
2019-11-14T18:45:39.058Z, 1.43260, 126.36080,  27.23, KILOMETER,   5.8, mb
2019-11-14T16:17:40.582Z, 1.61990, 126.41400,  33.00, KILOMETER,   7.1, Mww
2019-11-14T05:26:24.924Z, 9.93680, 57.62960,  10.00, KILOMETER,   5.5, Mww
2019-11-07T22:47:05.428Z, 37.80750, 47.55770,  10.00, KILOMETER,   5.9, Mww
2019-11-06T00:39:09.303Z, -13.72080, 167.80860,  10.00, KILOMETER,   6.0, Mww
2019-11-05T23:17:25.042Z, -13.80560, 167.74040,  10.00, KILOMETER,   6.0, Mww
2019-10-31T01:11:19.122Z, 6.90790, 125.18330,  10.00, KILOMETER,   6.5, mww
2019-10-29T08:44:09.946Z, -6.31840, 154.81350,  68.79, KILOMETER,   5.8, Mww
2019-10-29T02:42:38.279Z, 6.85360, 124.98090,  10.00, KILOMETER,   5.9, Mww
2019-10-29T01:04:43.863Z, 6.75870, 124.99520,  14.95, KILOMETER,   6.6, Mww
2019-10-26T00:41:25.510Z, 52.30840, -170.13950,  35.00, KILOMETER,   5.8, mww
2019-10-24T13:38:17.671Z, 1.14460, 124.19100, 250.04, KILOMETER,   5.6, Mww
2019-10-22T19:15:28.893Z, -2.86480, 138.30010,  10.00, KILOMETER,   5.5, Mww
2019-10-21T10:58:52.650Z, 27.22590, 55.00390,   9.00, KILOMETER,   5.5, Mww
