time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2012-12-31T20:02:04.160Z, -61.62300, 154.30100,  10.00, KILOMETER,   5.2, mb
2012-12-30T11:33:43.030Z, 1.56900, 126.58700,  68.40, KILOMETER,   5.2, mb
2012-12-30T07:56:52.070Z, -6.96000, 105.28300,  48.30, KILOMETER,   5.0, mb
2012-12-29T17:50:52.840Z, 35.71100, 70.59900, 117.40, KILOMETER,   5.5, mww
2012-12-29T07:59:41.100Z, -3.56300, 148.89900,   4.00, KILOMETER,   5.7, mww
2012-12-29T07:59:15.860Z, -3.31500, 148.75700,  10.00, KILOMETER,   5.1, mb
2012-12-29T07:56:00.310Z, -3.37100, 148.75200,  10.00, KILOMETER,   5.0, mb
2012-12-28T17:32:18.070Z, -0.14500, 122.91800, 112.10, KILOMETER,   5.5, mww
2012-12-28T13:42:34.810Z, 55.70700, 164.72400,  35.00, KILOMETER,   5.1, mwc
2012-12-28T10:35:45.050Z, -29.59600, -176.24500,  10.00, KILOMETER,   5.1, mb
2012-12-27T09:41:59.690Z, -18.30200, -173.56200,  22.90, KILOMETER,   5.4, mb
2012-12-26T02:58:23.230Z, -20.69000, -178.61900, 582.40, KILOMETER,   5.0, mb
2012-12-26T02:24:32.790Z, -5.91400, 147.28700,  95.50, KILOMETER,   5.1, mb
2012-12-25T22:44:33.510Z, 42.43600, 40.97400,  10.00, KILOMETER,   5.2, mwb
2012-12-25T17:36:32.800Z, 28.46400, 66.46500,  35.00, KILOMETER,   5.0, mb
2012-12-25T08:46:31.830Z, -7.89300, 101.25000,  20.00, KILOMETER,   5.1, mb
2012-12-25T07:34:41.220Z, 1.10900, 125.46400,  52.50, KILOMETER,   5.4, mb
2012-12-24T23:24:50.060Z, -55.68300, 146.89800,  10.00, KILOMETER,   5.0, mb
2012-12-24T12:58:20.180Z, 4.14900, 126.67900,  25.00, KILOMETER,   5.1, mb
2012-12-24T07:54:10.000Z, 54.90700, 162.03400,  27.00, KILOMETER,   5.3, mwb
2012-12-23T13:31:40.760Z, 42.42000, 41.07500,  15.20, KILOMETER,   5.7, mww
2012-12-23T12:52:24.450Z, 4.19000, 126.58400,  41.30, KILOMETER,   5.2, mb
2012-12-23T06:38:57.450Z, 38.45800, 44.86800,  12.40, KILOMETER,   5.2, mb
2012-12-23T00:29:56.570Z, -13.08600, 167.11000, 224.00, KILOMETER,   5.2, mb
2012-12-22T16:41:45.740Z, 22.44300, 94.78200, 134.40, KILOMETER,   5.5, mww
2012-12-22T03:50:08.200Z, 5.16900, 94.22100,  46.40, KILOMETER,   5.1, mb
2012-12-21T22:28:08.570Z, -14.34400, 167.28600, 200.70, KILOMETER,   6.7, mww
2012-12-20T21:47:29.760Z, 0.56200, 126.21700,  27.50, KILOMETER,   5.4, mwc
2012-12-20T19:38:45.820Z, -20.76500, -174.07400,  44.40, KILOMETER,   5.0, mb
2012-12-19T16:02:19.990Z, -20.50800, -174.28300,  10.00, KILOMETER,   5.0, mb
2012-12-17T09:16:30.900Z, -0.64900, 123.80700,  44.20, KILOMETER,   6.1, mww
2012-12-15T19:30:02.170Z, -4.63200, 153.01600,  52.00, KILOMETER,   6.1, mww
2012-12-15T07:33:14.400Z, -4.89300, 153.40500,  59.40, KILOMETER,   5.1, mb
2012-12-15T04:49:29.650Z, 52.29100, 174.01100,  26.00, KILOMETER,   6.0, mww
2012-12-14T17:46:45.300Z, -5.27200, 153.40400,  38.90, KILOMETER,   5.1, mb
2012-12-14T16:52:38.240Z, -15.30700, -178.18600,  10.00, KILOMETER,   5.8, mwc
2012-12-14T10:36:01.590Z, 31.09500, -119.66000,  13.00, KILOMETER,   6.3, mww
2012-12-14T02:34:52.550Z, -5.01500, 152.95900,  43.40, KILOMETER,   5.0, mb
2012-12-13T23:03:38.530Z, 80.80400, 121.38300,  10.00, KILOMETER,   5.5, mww
2012-12-13T00:53:28.770Z, -30.91100, -178.39000,  38.70, KILOMETER,   5.3, mwb
2012-12-12T01:44:20.690Z, -19.55600, -176.27800,  10.00, KILOMETER,   5.4, mwb
2012-12-11T23:16:23.170Z, -18.98700, 167.73600,  34.90, KILOMETER,   5.0, mb
2012-12-11T12:18:21.490Z, -18.97400, 167.66900,  35.00, KILOMETER,   5.2, mb
2012-12-11T06:18:27.330Z, 0.53300, 126.23100,  30.00, KILOMETER,   6.0, mww
2012-12-10T20:47:51.220Z, -6.51100, 129.90400, 173.00, KILOMETER,   5.2, mb
2012-12-10T17:34:36.130Z, 3.65500, 126.86900,  63.60, KILOMETER,   5.0, mb
2012-12-10T16:53:08.770Z, -6.53300, 129.82500, 155.00, KILOMETER,   7.1, mww
2012-12-09T21:45:35.210Z, 6.70300, 126.16600,  63.20, KILOMETER,   5.6, mwb
2012-12-09T20:52:39.240Z, -16.23600, -174.22000, 137.70, KILOMETER,   5.2, mb
2012-12-09T18:30:04.630Z, -3.56300, 141.11700,  35.00, KILOMETER,   5.0, mwb
2012-12-08T19:00:07.410Z, -7.25800, 144.04100,  10.00, KILOMETER,   5.0, mb
2012-12-08T16:35:16.820Z, -7.21100, 143.97300,  10.00, KILOMETER,   5.6, mww
2012-12-08T10:27:30.380Z, -7.16700, 144.04400,  27.10, KILOMETER,   5.0, mb
2012-12-08T06:16:57.030Z, -7.23500, 144.00600,  35.00, KILOMETER,   5.1, mb
2012-12-07T19:50:23.430Z, -7.66100, 146.95400, 139.80, KILOMETER,   5.7, mwc
2012-12-07T18:19:06.310Z, -38.42800, 176.06700, 163.00, KILOMETER,   6.3, mww
2012-12-07T14:08:42.860Z, 38.74500, 88.09800,  10.00, KILOMETER,   5.3, mb
2012-12-07T02:25:46.470Z, -5.29300, 151.42900, 106.10, KILOMETER,   5.0, mb
2012-12-06T02:24:28.330Z, 2.42100, 90.43400,  30.90, KILOMETER,   5.1, mb
2012-12-05T23:41:54.110Z, -31.10300, -177.52300,  18.40, KILOMETER,   5.0, mb
2012-12-05T23:08:36.860Z, -20.78100, -178.95000, 625.80, KILOMETER,   5.1, mb
