#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
MM|HKA||HHE|22.642099|93.599503|1733.0|0.0|90.0|0.0|Streckeisen STS-2.5/Quanterra 330 Linear Phase Bel|629280000.0|0.4|M/S|100.0|2016-01-20T00:00:00|
MM|HKA||HHN|22.642099|93.599503|1733.0|0.0|0.0|0.0|Streckeisen STS-2.5/Quanterra 330 Linear Phase Bel|629280000.0|0.4|M/S|100.0|2016-01-20T00:00:00|
MM|HKA||HHZ|22.642099|93.599503|1733.0|0.0|0.0|-90.0|Streckeisen STS-2.5/Quanterra 330 Linear Phase Bel|629280000.0|0.4|M/S|100.0|2016-01-20T00:00:00|
MM|KTA||HHE|24.179361|96.340195|120.4|0.0|90.0|0.0|Trillium 120QA|477413000.0|1.0|M/S|100.0|2017-08-10T09:10:57|
MM|KTA||HHN|24.179361|96.340195|120.4|0.0|0.0|0.0|Trillium 120QA|477413000.0|1.0|M/S|100.0|2017-08-10T09:10:57|
MM|KTA||HHZ|24.179361|96.340195|120.4|0.0|0.0|-90.0|Trillium 120QA|477413000.0|1.0|M/S|100.0|2017-08-10T09:10:57|
MM|MDY||HHE|22.016199|96.112297|97.0|0.0|90.0|0.0|Streckeisen STS-2.5/Quanterra 330 Linear Phase Bel|629280000.0|0.4|M/S|100.0|2016-01-14T00:00:00|
MM|MDY||HHN|22.016199|96.112297|97.0|0.0|0.0|0.0|Streckeisen STS-2.5/Quanterra 330 Linear Phase Bel|629280000.0|0.4|M/S|100.0|2016-01-14T00:00:00|
MM|MDY||HHZ|22.016199|96.112297|97.0|0.0|0.0|-90.0|Streckeisen STS-2.5/Quanterra 330 Linear Phase Bel|629280000.0|0.4|M/S|100.0|2016-01-14T00:00:00|
MM|NGU||HHE|21.205721|94.916618|70.4|0.0|90.0|0.0|Trillium 120QA|477413000.0|1.0|M/S|100.0|2017-08-10T09:10:57|
MM|NGU||HHN|21.205721|94.916618|70.4|0.0|0.0|0.0|Trillium 120QA|477413000.0|1.0|M/S|100.0|2017-08-10T09:10:57|
MM|NGU||HHZ|21.205721|94.916618|70.4|0.0|0.0|-90.0|Trillium 120QA|477413000.0|1.0|M/S|100.0|2017-08-10T09:10:57|
MM|SIM||BHE|20.1332|92.885201|15.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|627192000.0|0.2|M/S|20.0|2017-08-21T00:00:00|
MM|SIM||BHN|20.1332|92.885201|15.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|627192000.0|0.2|M/S|20.0|2017-08-21T00:00:00|
MM|SIM||BHZ|20.1332|92.885201|15.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|627192000.0|0.2|M/S|20.0|2017-08-21T00:00:00|
